flight_id,flight_number,origin,destination,origin_city,destination_city,origin_airport,destination_airport,depart_date,depart_time,arrive_time,duration_hrs,duration_mins,cabin,fare_class,base_fare,seats_available
FL00001,SG259,YYZ,NYC,Toronto,New York,Toronto Pearson,John F Kennedy Intl,2026-07-04,12:15,23:15,11,0,Premium Economy,W,28175,146
FL00002,UK625,DAC,COK,Dhaka,Kochi,Hazrat Shahjalal Intl,Cochin Intl,2026-06-22,10:15,16:00,5,45,Business,J,73192,80
FL00003,9W289,AUH,NRT,Abu Dhabi,Tokyo,Abu Dhabi Intl,Narita Intl,2026-08-01,05:15,08:00,2,45,Economy,Y,12636,119
FL00004,SG652,BLR,GOI,Bangalore,Goa,Kempegowda Intl,Goa Intl,2026-06-24,15:15,05:30,14,15,Business,J,87480,44
FL00005,6E511,DXB,CCU,Dubai,Kolkata,Dubai Intl,Netaji Subhas Intl,2026-07-05,03:45,15:15,11,30,Business,J,65153,58
FL00006,JA902,CMB,DXB,Colombo,Dubai,Bandaranaike Intl,Dubai Intl,2026-08-21,09:45,22:45,13,0,Business,J,68538,124
FL00007,JA512,LHR,COK,London,Kochi,Heathrow,Cochin Intl,2026-06-23,05:45,15:15,9,30,Economy,Y,13351,28
FL00008,JA331,GOI,KUL,Goa,Kuala Lumpur,Goa Intl,KLIA,2026-06-11,01:30,05:30,4,0,First,F,159073,67
FL00009,6E160,BOM,KTM,Mumbai,Kathmandu,Chhatrapati Shivaji Intl,Tribhuvan Intl,2026-04-29,20:00,09:30,13,30,Business,J,54725,5
FL00010,SG788,AUH,JNB,Abu Dhabi,Johannesburg,Abu Dhabi Intl,OR Tambo Intl,2026-04-19,21:30,11:00,13,30,Premium Economy,W,23361,86
FL00011,6E674,LHR,COK,London,Kochi,Heathrow,Cochin Intl,2026-05-26,12:00,00:15,12,15,First,F,113784,31
FL00012,UK128,SYD,PEK,Sydney,Beijing,Kingsford Smith,Beijing Capital,2026-03-07,17:30,21:30,4,0,Business,J,36110,34
FL00013,JA366,AMD,HKG,Ahmedabad,Hong Kong,Sardar Vallabhbhai Patel Intl,Hong Kong Intl,2026-05-16,02:30,14:15,11,45,Economy,Y,13394,58
FL00014,SG510,PEK,PNQ,Beijing,Pune,Beijing Capital,Pune Intl,2026-05-24,02:30,16:30,14,0,First,F,154644,113
FL00015,UK499,LHR,ICN,London,Seoul,Heathrow,Incheon Intl,2026-05-20,15:15,05:30,14,15,First,F,105658,130
FL00016,9W112,NRT,BKK,Tokyo,Bangkok,Narita Intl,Suvarnabhumi,2026-07-14,20:00,01:45,5,45,Premium Economy,W,22838,134
FL00017,6E941,CDG,CCU,Paris,Kolkata,Charles de Gaulle,Netaji Subhas Intl,2026-05-29,21:15,01:15,4,0,Economy,Y,5846,65
FL00018,SG218,PNQ,FRA,Pune,Frankfurt,Pune Intl,Frankfurt Intl,2026-06-10,07:00,13:15,6,15,Business,J,74216,150
FL00019,6E542,LHR,DXB,London,Dubai,Heathrow,Dubai Intl,2026-06-14,00:45,09:00,8,15,Premium Economy,W,18960,106
FL00020,6E230,KTM,SYD,Kathmandu,Sydney,Tribhuvan Intl,Kingsford Smith,2026-07-30,08:30,23:00,14,30,First,F,126470,39
FL00021,9W894,DAC,LHR,Dhaka,London,Hazrat Shahjalal Intl,Heathrow,2026-04-11,03:30,07:30,4,0,Business,J,47842,98
FL00022,JA196,MAA,LHR,Chennai,London,Chennai Intl,Heathrow,2026-05-01,11:00,20:45,9,45,Economy,Y,5978,39
FL00023,JA237,AUH,PEK,Abu Dhabi,Beijing,Abu Dhabi Intl,Beijing Capital,2026-08-13,17:15,02:45,9,30,Economy,Y,4928,5
